CODE,,,,,,
,,,,,,
BRM_CODE1_한글,BRM_CODE1,BRM_CODE2_한글,BRM_CODE2,,국내/외,CODE
공공질서및안전,0001,경찰,0018,,국내,0
,,법무및검찰,0021,,국외,1
,,안전관리,0024,,,
,,해경,0027,,국가,CODE
과학기술,0002,과학기술연구,0030,,국제기구,ZZ
,,과학기술진흥,0033,,네덜란드,NL
,,원자력기술,0035,,노르웨이,NO
교육,0003,고등교육,0037,,대만,TW
,,교육일반,0039,,덴마크,DK
,,유아및초·중등교육,0041,,독일,DE
,,평생·직업교육,0045,,러시아,RU
교통및물류,0004,물류등기타,0049,,미국,US
,,도로,0052,,벨기에,BE
,,철도,0053,,브라질,BR
,,항공·공항,0054,,스웨덴,SW
,,해운·항만,0056,,스페인,SP
국방,0005,병무행정,0063,,싱가포르,SI
지역개발,0006,산업단지,0066,,아프리카,AF
,,지역및도시,0067,,영국,GB
,,수자원,0072,,유럽연합,EU
농림,0007,농업·농촌,0077,,이탈리아,IT
,,임업·산촌,0082,,인도,IN
문화체육관광,0008,문화예술,0088,,일본,JP
,,관광,0090,,중국,CN
,,문화재,0115,,캐나다,CA
,,체육,0117,,프랑스,FR
,,문화체육관광일반,0118,,한국,KR
보건,0009,건강보험,0123,,호주,AT
,,보건의료,0125,,,
,,식품의약안전,0132,,,
사회복지,0010,주택,0071,,,
,,고용노동,0135,,,
,,공적연금,0140,,,
,,기초생활보장,0142,,,
,,보훈,0144,,,
,,노인·청소년,0147,,,
,,취약계층지원,0148,,,
,,보육·가족및여성,0149,,,
,,보건의료,0153,,,
,,사회복지일반,0154,,,
산업·통상·중소기업,0011,공정거래,0155,,,
,,무역및투자유치,0157,,,
,,통상,0159,,,
,,산업진흥·고도화,0161,,,
,,산업·중소기업일반,0165,,,
,,에너지및자원개발,0167,,,
,,산업금융,0168,,,
일반공공행정,0012,국정홍보,0121,,,
,,국가통계,0170,,,
,,국민권익·인권,0172,,,
,,일반행정,0175,,,
,,국정운영,0176,,,
,,지방행정·재정지원,0184,,,
,,법제,0185,,,
,,재정·금융,0186,,,
재정·세제·금융,0013,금융,0187,,,
,,기획재정,0189,,,
,,세제,0191,,,
통신,0014,방송통신,0194,,,
통일·외교,0015,외교,0199,,,
,,통일,0201,,,
해양수산,0016,해양수산·어촌,0204,,,
환경,0017,대기,0208,,,
,,상하수도·수질,0210,,,
,,자연,0212,,,
,,해양환경,0213,,,
,,폐기물,0220,,,
,,환경일반,0221,,,
